Volts,Energy Used
500.34936,9514235.5522858
500.30658,9523277.62821362
500.26518,9533497.10769379
500.23344,9542589.45363316
500.15064,9552640.26467659
500.10924,9561685.04627677
500.06646,9571391.94218116
500.03472,9581438.20083298
499.99332,9590885.25245283
499.92156,9600344.49194507
499.87878,9610103.0502521
499.0218,9682496.33007845
499.08528,9692076.50349433
499.07562,9701894.51480475
499.06458,9711315.43438809
499.04388,9721422.82580816
499.0218,9730766.83982846
498.96936,9740608.21229274
498.95142,9749968.73682735
498.91968,9759391.08002643
498.88794,9768974.42310469
498.8562,9778563.24620974
498.78168,9788168.33774646
498.75132,9797733.30034293
498.71958,9807331.64985286
498.68922,9816990.80686177
498.65748,9826583.51140044
498.58434,9836146.05566931
498.5526,9845842.76512702
498.5112,9855735.11728308
498.47946,9865181.11509408
498.4491,9874976.61803772
498.37596,9884578.94556525
498.33318,9894222.05750448
498.30282,9903340.47343015
498.27108,9913506.35884365
498.2283,9922674.17997493
498.15654,9932314.48478385
498.1248,9941859.90384156
498.0834,9951530.52432539
498.05166,9961262.66962043
498.00888,9970841.55234708
497.9385,9980226.15226046
497.90676,9989983.41877985
497.86398,9999988.35039834
497.82258,10009344.3881427
497.79084,10018753.2553406
497.71632,10028725.4181309
497.6763,10038056.1603346
497.64456,10047700.5957629
497.60316,10057187.2554978
497.57142,10066657.0053711
497.48724,10076403.0436069
497.44722,10086040.7823506
497.41548,10095742.5704827
497.37408,10105204.2920093
497.34234,10114799.6074047
497.25816,10124520.662132
497.22642,10134636.7687033
497.1864,10144075.1895302
497.14362,10153427.3046421
497.11188,10163334.8636047
497.0277,10172789.2778204
496.9863,10182241.3030889
496.95456,10192310.3077868
496.91454,10201352.9730328
496.87176,10210986.7556569
496.8414,10220692.2101786
496.76688,10230144.035055
496.72548,10239733.4396781
496.68546,10249479.9331898
496.64268,10259574.7222466
496.56954,10268948.0650406
496.52676,10278245.1875893
496.49502,10288300.9924358
496.45362,10297867.086254
496.4136,10307116.1366033
496.38186,10316632.5107898
496.29768,10326296.9157313
496.2549,10335699.1791275
496.2135,10345336.4264812
496.18452,10355041.6634215
496.14174,10364655.7457121
496.05756,10374115.8126077
496.02582,10383779.7952242
495.98442,10393360.2949758
495.9444,10403083.0485953
495.91266,10413184.1042432
495.82848,10422521.7003519
495.7857,10431878.0086693
495.7443,10442123.3717163
495.71256,10451130.1956824
495.67254,10461010.4630207
495.59802,10470087.2662882
495.55662,10480380.4352455
495.51384,10489241.8991169
495.47244,10499466.3302988
495.43242,10508564.4376275
495.3579,10518906.1965327
495.3165,10527765.8724092
495.27372,10537943.4693206
495.23232,10547146.1319626
495.20058,10557416.5035611
495.11778,10566185.8482293
495.07638,10575934.127067
495.04464,10585977.4415841
495.00324,10595473.684456
494.96046,10604793.8630106
494.8887,10614690.5484803
494.8473,10624151.6276464
494.80452,10633741.1649257
494.76312,10643263.22164
